Zone,Factor,Effect,CI95_L,CI95_U,p,sig
All,mean_temp,1.5372437948205718e-6,-1.1987589978844986e-7,3.1943634894295934e-6,0.06903657167712658,
All,slope_temp,-1.7341626257849769e-6,-2.2720369565442604e-6,-1.1962882950256934e-6,2.630447739044224e-10,***
All,mean_flow,-1.3322300832067973e-6,-1.8770914190722935e-6,-7.87368747341301e-7,1.6490424458778852e-6,***
All,mean_organic,-2.640823172780487e-6,-3.2838876613766057e-6,-1.9977586841843684e-6,8.358760157567301e-16,***
All,mean_salinity,-5.177004991929111e-7,-1.0676042209880747e-6,3.220322260225273e-8,0.06501056979334265,
All,HFP_mean,-8.447151256337803e-7,-1.501359208345939e-6,-1.8807104292162154e-7,0.011691478425767841,*
All,elevation,9.04981800646447e-7,1.5202288529587453e-7,1.6579407159970194e-6,0.018488739395838796,*
Cold,mean_temp,3.9250610456446174e-6,1.983620631746958e-6,5.866501459542277e-6,7.416570241292777e-5,***
Cold,slope_temp,-8.953807719932464e-7,-1.7530491546562949e-6,-3.771238933019771e-8,0.040742084614312,*
Cold,mean_flow,-5.612402930891952e-7,-1.0919755872469463e-6,-3.050499893144411e-8,0.038207978379587886,*
Cold,mean_organic,2.5901512138312325e-6,-1.4338870540204804e-5,1.9519172967867267e-5,0.7642719323340957,
Cold,mean_salinity,5.832451872325245e-6,-4.532640385477535e-6,1.6197544130128024e-5,0.2700816832524731,
Cold,HFP_mean,-1.751122187434048e-7,-8.16614788184661e-7,4.663903506978514e-7,0.5926393288652042,
Cold,elevation,6.831916491968952e-7,1.1079896674568569e-7,1.2555843316481046e-6,0.019316947058871627,*
Intermediate,mean_temp,1.1034972145368916e-6,-1.4953014985801416e-6,3.702295927653925e-6,0.40527554069946276,
Intermediate,slope_temp,-3.926928318646347e-6,-4.714596331449865e-6,-3.1392603058428288e-6,1.4933819697641328e-22,***
Intermediate,mean_flow,-1.9869776008038544e-6,-2.7710582213895174e-6,-1.2028969802181915e-6,6.8051997878908e-7,***
Intermediate,mean_organic,-2.5013054373812243e-6,-3.2950393018400754e-6,-1.7075715729223731e-6,6.555318363706845e-10,***
Intermediate,mean_salinity,-3.3695591942668865e-7,-1.1632389012881772e-6,4.893270624347998e-7,0.42413508581818493,
Intermediate,HFP_mean,-9.539821079027106e-7,-1.9247659522027237e-6,1.6801736397302434e-8,0.054099114802354686,
Intermediate,elevation,2.3592175358287743e-6,1.0577808271434646e-6,3.6606542445140838e-6,3.808903020083024e-4,***
Warm,mean_temp,6.201143824559954e-6,1.7253151458856183e-6,1.0676972503234291e-5,0.0066179983502349556,**
Warm,slope_temp,1.878261608157219e-6,9.940519137442318e-7,2.762471302570206e-6,3.1353333672497804e-5,***
Warm,mean_flow,-4.0200413959674864e-7,-1.6129342171643837e-6,8.089259379708863e-7,0.5152607263742333,
Warm,mean_organic,4.442071566801226e-7,-1.394867670755192e-6,2.283281984115437e-6,0.635923173426479,
Warm,mean_salinity,-7.175973658653917e-7,-1.5965656550907229e-6,1.6137092335993927e-7,0.10956937759716572,
Warm,HFP_mean,-7.302508156144406e-7,-2.1058035903007796e-6,6.453019590718986e-7,0.29810677413078424,
Warm,elevation,1.6658201281497844e-6,4.829565361179542e-8,3.283344602687773e-6,0.043540866997500496,*
