Term,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.024426767624126437,0.009095364390932012,2.4166365968476944,2.6856282578936232,0.09422991351409682
Period_bin,-0.043482476315366995,0.0047740969962122735,3045.3025158802548,-9.108000183043119,1.481233692512371e-19
mean_temp_z,0.016814146325745558,0.00634117211151317,15.911132801948115,2.651583339808334,0.017472866540922956
sen_temp_z,-0.014522578280290799,0.006250091737003089,229.81908893142975,-2.3235784195472236,0.02102161640147561
mean_Q_z,0.009723428364449947,0.0032022609183582312,1225.0023151394919,3.0364260166017503,0.0024445839549667864
mean_organic_z,0.011022094532919606,0.004607314209692787,2361.0853187822604,2.3923036353221834,0.01682074168438256
mean_salinity_z,-0.009465232737074648,0.004415730370425729,3854.8460911495786,-2.143525972615508,0.0321332828609288
HFP_period_z,-0.0028256451449878437,0.004921224797343133,3241.166329676819,-0.5741751822662827,0.5658891052504917
elevation_z,0.001297057104561174,0.004120377811272155,276.07648097030426,0.31479081869939285,0.7531582636953768
Period_bin:mean_temp_z,-0.016273350715198594,0.006372522774515814,3107.1278353575503,-2.553674783286286,0.01070662323939936
Period_bin:sen_temp_z,0.01562004715200919,0.007216011683253293,228.0710351668809,2.1646371759984446,0.031453644754298245
Period_bin:mean_Q_z,-0.025560438774874586,0.004691980089304929,3553.71964929164,-5.447686965496291,5.4495308255663433e-8
Period_bin:mean_organic_z,-0.023867076570311015,0.0059208235968913345,3475.2894885946002,-4.031039969311393,5.6721535931077086e-5
Period_bin:mean_salinity_z,0.015239991410793585,0.005465131578899138,3852.6737375705948,2.7885863662706973,0.0053198485215512166
Period_bin:HFP_period_z,-8.836730941014643e-4,0.006012193223293069,3854.8557076032475,-0.14698015537455542,0.8831553700351222
Period_bin:elevation_z,-0.0018361463219258058,0.0050534911674276475,3668.4467651529317,-0.3633421452798244,0.7163702495282491
