Zone,Model,N,AIC,BIC,R2_marginal,R2_conditional,Singular,Var_Species,Var_HYBAS,Var_SiteID,Var_Residual
All,M1,29908,60718.22405405886,60884.341679701254,0.015502672781457841,0.06565489023462764,FALSE,0.009001501832958034,0.012388942850041459,NA,0.4428258811356536
All,M2,29908,60384.51790173171,60558.94140865623,0.012114595605176342,0.09880243064144446,FALSE,0.008322265355788715,0.009203977221230395,0.021597663986608295,0.42154418239373914
All,M3,29908,60713.97196969212,60905.00723918087,0.011059981796944876,0.05408198122313889,FALSE,0.008845733540947563,0.01129340800811922,NA,0.4427961770266169
All,M4,29908,60382.35489827141,60581.696049042286,0.010464981617439079,0.09261843682657019,FALSE,0.008223856000605127,0.008432177874898587,0.021512057500991746,0.4215650130403938
All,M5,29908,60405.89669148928,60572.014317131674,0.007851708226796095,0.0770627807717989,FALSE,0.008204789557638209,NA,0.022780404910737025,0.42182594493364356
All,M6,29908,60401.975237996674,60593.01050748543,0.009127869191983242,0.0764536079173995,FALSE,0.00804879834653128,NA,0.022702036958466183,0.42182712788764976
Cold,M1,3746,7424.398374741429,7548.9672524015095,0.009544048126291017,0.08128187670896103,TRUE,0.005069525387618307,0.027338014438472058,NA,0.4150306018141494
Cold,M2,3746,7413.565399893507,7544.3627214365915,0.009413751645107948,0.10961049327663791,TRUE,0.005056094739178051,0.025537232076484184,0.014513194838576868,0.40083512609043054
Cold,M3,3746,7425.291643216577,7556.088964759661,0.010358382348236156,0.08187943867616204,FALSE,0.0050633259059130456,0.027258120838088686,NA,0.4149125635301139
Cold,M4,3746,7414.509245831108,7551.535011257197,0.010218064245708033,0.11020463904781226,FALSE,0.00504953039815649,0.025518614452577575,0.014465253530071215,0.4007588923459053
Cold,M5,3746,7436.201260022939,7560.77013768302,0.015120624029517521,0.07098754979791114,TRUE,0.003758160765746676,NA,0.020435386323528572,0.4023150755362116
Cold,M6,3746,7437.047245660031,7567.844567203116,0.015448459936643621,0.07125535343560319,FALSE,0.0037828597081964017,NA,0.020385817891005315,0.40221787179782614
Intermediate,M1,15346,31807.739679190487,31960.51188184524,0.01038630943784319,0.030735736584839222,FALSE,0.008208515585271551,0.0011018988611815725,NA,0.4619176932028207
Intermediate,M2,15346,31595.985470410906,31756.396283198395,0.010410289450310055,0.08284760893965021,TRUE,0.008065934353380206,0,0.025509513137091495,0.43595910683243305
Intermediate,M3,15346,31806.565759355755,31982.25379240872,0.01130738647771936,0.027231148139962472,TRUE,0.007564073483237149,0,NA,0.46208271850239774
Intermediate,M4,15346,31594.11732014768,31777.443963333382,0.010964147729167614,0.08046518058809357,TRUE,0.00754872716131595,0,0.025403215519520652,0.4359713433870663
Intermediate,M5,15346,31593.985470410847,31746.7576730656,0.010410287239238496,0.08284753564688246,FALSE,0.00806590540199485,NA,0.025509512527248663,0.4359591105343264
Intermediate,M6,15346,31592.117320147783,31767.805353200747,0.010964147651232136,0.08046519165954187,FALSE,0.007548729018676771,NA,0.025403219158921766,0.4359713409241734
Warm,M1,10816,21294.33199846888,21440.107634434535,0.024676952924366648,0.0648844692328283,FALSE,0.010582340092857643,0.004934821639457474,NA,0.4138770885729212
Warm,M2,10816,21201.391819325687,21354.456237089624,0.024167806436796092,0.09644086497795039,FALSE,0.010183660191282863,0.004004809198572287,0.015607419691081042,0.3988874334171222
Warm,M3,10816,21289.06373980407,21442.128157568008,0.024634146678565328,0.056780818882067895,FALSE,0.010350293502822627,0.0037552436219302383,NA,0.4138721760004873
Warm,M4,10816,21196.48934679546,21356.842546357682,0.023704438257911613,0.08821616785703121,FALSE,0.00994835478495519,0.002741120828152964,0.015536547966994009,0.3989356990728485
Warm,M5,10816,21205.549105899907,21351.324741865563,0.019917006608296414,0.08710345119082434,FALSE,0.009865074602373354,NA,0.01630220848766258,0.39922510528392186
Warm,M6,10816,21197.933144657884,21350.99756242182,0.021206015896606065,0.08062970363067125,FALSE,0.00968024650610939,NA,0.016124485384504905,0.39923648145460133
