Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-0.08011852350713204,0.057585882802779355,51.47436124760666,-1.3912875796577207,0.1701225614218054,Warm
Period_bin,0.04308282048800346,0.06969654553847034,836.1207805047161,0.6181485775966196,0.5366457410826058,Warm
mean_temp_z,0.140425386150369,0.0476772827645157,522.3829744426187,2.9453311516083716,0.0033699232033603008,Warm
sen_temp_z,0.03780268865560887,0.023335037650113848,350.261757280939,1.6199969000446175,0.1061328796574705,Warm
mean_Q_z,-0.030769651433864106,0.012862845438229874,792.4994270324589,-2.3921341185064016,0.01698279122366017,Warm
mean_organic_z,0.05008869848607886,0.020684918695247554,849.7406389531735,2.4215081153587974,0.015664693939941878,Warm
mean_salinity_z,-0.020734905320314575,0.010304283047206212,983.9685649038752,-2.0122608458369555,0.04446456457156244,Warm
HFP_period_z,-0.023385758552020772,0.01538397365685535,775.4811846750214,-1.5201377143284236,0.12888396741286137,Warm
elevation_z,0.014758504936596271,0.014855219060938323,269.4726243732177,0.9934895524633252,0.321362691746481,Warm
Period_bin:mean_temp_z,-0.12352811711461549,0.05874959174920555,847.1507595710908,-2.1026208597659903,0.035793456438097525,Warm
Period_bin:sen_temp_z,-0.033916149959672716,0.02516556396825491,451.1592726678911,-1.3477206393012384,0.1784246083933094,Warm
Period_bin:mean_Q_z,0.034999307548726065,0.016496528592023045,796.5177885427572,2.1216165178927464,0.03417814154884275,Warm
Period_bin:mean_organic_z,-0.06981983788000098,0.025708106656253834,816.4915682918535,-2.7158685318047873,0.006749939388500708,Warm
Period_bin:mean_salinity_z,0.035120005933821814,0.012358209198146008,720.6513289512906,2.8418361730832777,0.004612199864026761,Warm
Period_bin:HFP_period_z,0.0063155470979886,0.01832670579785764,814.7701535153053,0.3446089639703212,0.7304772954051624,Warm
Period_bin:elevation_z,-0.01673657650877009,0.018506264892108902,737.2871718205382,-0.904373551677983,0.36609276371772403,Warm
