period,zone,slope,SE,z,p,sig
early,All,0.037275357515226176,0.00266240271523607,14.000645845916306,1.5446064327272067e-44,***
early,Cold,0.029307832732345423,0.005860578621098841,5.000842856511375,5.708022350769425e-7,***
early,Intermediate,0.03524751467743144,0.003365991857670534,10.471657736517761,1.1658324878107412e-25,***
early,Warm,0.053218861787297365,0.00638074232515018,8.340543948551437,7.394957211822648e-17,***
full,All,0.005774582549827651,0.0013710387406189986,4.2118303288939405,2.5330978623982018e-5,***
full,Cold,-0.004527483730370148,0.002937195457075489,-1.5414308637390033,0.12321195723761709,
full,Intermediate,0.011403392766138859,0.0017665310908935332,6.455246004400004,1.0804324852144844e-10,***
full,Warm,0.0021549168307632956,0.003152944023039722,0.683461810617799,0.4943150738575996,
late,All,-0.012998124012096546,0.002430996225900694,-5.346830189866168,8.950791829601351e-8,***
late,Cold,-0.010548785521212986,0.005005921286051381,-2.1072615645408517,0.03509491303582262,*
late,Intermediate,-0.011579680455368375,0.0033044363479131918,-3.5042831019217973,4.5783835652750876e-4,***
late,Warm,-0.019122118417204282,0.00508427666047514,-3.7610302692334736,1.692149493813189e-4,***
